@relation questions

@attribute age_of_account numeric
@attribute badge_score numeric
@attribute posts_with_neg_score numeric
@attribute post_score numeric
@attribute accepted_answer_score numeric
@attribute comment_score numeric
@attribute num_of_URLs numeric
@attribute num_of_stackOverflow_URLs numeric
@attribute title_length numeric
@attribute body_length numeric
@attribute num_of_tags numeric
@attribute num_of_punctuation_marks numeric
@attribute num_of_short_words numeric
@attribute num_of_special_characters numeric
@attribute num_of_lower_case_characters numeric
@attribute num_of_upper_case_characters numeric
@attribute code_snippet_length numeric
@attribute class {closed,not_closed}

@data
1437605445484.999936,0.028945,1,54,0,9,1,0,73,686,4,24,29,100,460,28,252,closed
1437607116016,0.005747,0,0,0,0,0,0,80,3192,5,112,78,398,1821,228,2808,closed
1437660257472,0.009557,2,0,0,0,0,0,41,317,2,9,16,48,215,3,66,closed
1437599506228.999936,0.001373,1,-5,0,0,0,0,34,10922,3,774,224,2090,4975,487,10715,closed
1437685917499.000064,0.009435,2,2,0,1,0,0,16,340,4,5,25,20,249,13,0,closed
1437602830828,0.008918,0,0,0,0,0,0,74,629,3,16,43,59,429,22,0,closed
1437606571451.000064,0.008682,1,-4,0,0,0,0,50,379,2,16,23,37,269,5,34,closed
1437603472276.999936,0.007701,2,-4,0,0,0,0,33,658,3,23,35,85,433,10,335,closed
1437605562595.000064,0.012036,1,-11,0,0,0,0,60,159,2,3,6,28,86,2,70,closed
1437602444815.000064,0.00877,1,-2,0,0,0,0,109,222,5,2,12,8,176,3,0,closed
1437599979300,0.006498,6,-8,0,0,0,0,50,76,3,1,2,7,50,9,0,closed
1437604218553.999872,0.003282,1,-1,30,0,0,0,51,78,2,0,4,6,61,1,0,closed
1437603170038.000128,0.025065,2,6,45,0,0,0,53,1011,5,32,23,118,693,61,528,closed
1437714983220,0.242456,1,55,240,1,1,1,33,1498,5,46,41,217,741,128,1069,closed
1437601541271.000064,0.012947,4,-21,0,0,0,0,44,176,2,4,5,57,94,3,74,closed
1437755625144,0.016281,1,11,60,1,0,0,59,630,3,6,53,35,465,10,0,closed
1437643312248,0.007519,3,-1,60,1,0,0,81,850,3,11,65,34,647,20,0,closed
1437619058761.999872,0.582464,1,45,195,1,0,0,61,240,1,6,16,48,132,10,84,closed
1437618788500.999936,0.013029,3,5,15,2,0,0,59,629,1,24,27,84,425,20,359,closed
1437675299216.999936,0.055366,0,27,75,5,0,0,53,445,3,10,24,66,293,18,40,closed
1437613580440.999936,0.088129,4,4,45,1,0,0,71,153,3,5,6,13,117,2,0,closed
1437677073268.999936,0.111493,1,41,15,2,0,0,46,140,2,1,7,16,102,3,0,closed
1437592323008,0.022086,3,-8,0,1,0,0,49,1848,4,71,84,360,851,11,1077,closed
1437600163296,0.034508,1,5,0,0,0,0,56,179,4,2,5,32,121,6,41,closed
1437613923652,0.08139,1,23,135,1,1,0,71,29087,5,2109,283,3196,20048,2323,27408,closed
1437602981055.000064,0.002784,2,-12,0,0,0,0,44,142,2,4,16,10,98,1,0,closed
1437644213510.000128,0.035989,0,13,120,1,0,0,41,336,5,12,26,24,228,17,0,closed
1437620603675.000064,0.103212,0,16,60,5,0,0,56,2122,5,46,101,181,1334,121,856,closed
1437594759328.999936,0.002349,0,0,0,0,0,0,45,1564,5,79,47,277,800,17,1263,closed
1437662752387.000064,0.197674,1,19,0,1,0,0,31,5263,4,222,149,638,2949,273,4584,closed
1437700053335.000064,0.023511,0,16,45,3,0,0,28,734,2,19,46,73,468,68,73,closed
1437597858064.999936,0.009253,2,3,0,0,0,0,35,262,2,8,11,62,150,9,148,closed
1437730055400,57.420104,0,238,120,21,0,0,41,502,5,9,42,23,366,17,0,closed
1437669117692.999936,0.022445,0,20,75,6,0,0,67,1369,4,75,33,193,904,43,538,closed
1437629216723.000064,0.001874,0,1,0,0,0,0,65,1267,4,25,60,221,833,24,344,closed
1437736889320,0.707225,2,48,135,7,0,0,25,642,1,21,14,133,417,8,366,closed
1437712754344.999936,0.267734,9,12,375,1,0,0,49,246,5,5,17,24,160,16,0,closed
1437640541775.000064,0.02401,2,26,0,1,0,0,63,399,3,12,17,51,264,21,104,closed
1437610577308,1.046206,2,347,30,1,1,0,41,392,2,7,27,37,289,9,15,closed
1437696392860.999936,0.116171,4,30,30,0,0,0,72,1639,3,80,26,264,879,38,1441,closed
1437601117800.999936,0.029982,2,-4,0,0,0,0,20,432,4,6,24,41,314,11,0,closed
1437736429956,0.220976,2,29,60,4,1,0,69,308,2,8,5,73,195,6,66,closed
1437661320216,0.021492,2,16,0,0,0,0,30,788,2,32,30,106,514,42,295,closed
1437593601737.999872,0.005708,1,-3,0,0,0,0,46,635,3,13,31,131,405,16,0,closed
1437607693815.000064,0.01129,1,2,0,0,0,0,90,296,2,5,18,48,196,4,107,closed
1437631799779.000064,0.020505,3,3,0,1,0,0,55,2477,3,162,59,471,1417,150,1755,closed
1437651246142.000128,0.2196,1,69,0,10,0,0,38,913,3,20,51,107,619,32,0,closed
1437682278900,0.010185,0,9,0,0,0,0,112,934,1,56,16,153,641,24,728,closed
1437714589108.999936,0.017241,2,20,15,0,0,0,70,1665,4,31,92,103,1248,44,0,closed
1437745453550.000128,0.033708,0,82,15,0,0,0,57,283,3,4,15,19,207,11,0,closed
1437605985302.000128,0.013582,1,9,0,0,0,0,56,265,2,4,14,14,193,12,0,closed
1437647420740,0.024121,1,24,75,0,1,0,36,1673,5,71,35,230,988,81,1246,closed
1437696648975.000064,0.720964,0,40,180,0,0,0,45,866,2,18,49,84,598,38,336,closed
1437671531699.000064,0.001021,1,-2,0,0,0,0,76,571,4,16,57,27,373,60,0,closed
1437599989188,0.003665,0,0,0,0,0,0,32,315,2,4,27,24,223,11,0,closed
1437651316352.999936,0.022515,2,3,0,0,0,0,58,691,5,53,10,159,357,13,481,closed
1437685683027.000064,0.021535,3,-7,15,0,0,0,38,1542,2,31,62,185,934,61,437,closed
1437615669319.000064,0.017386,2,8,0,3,0,0,44,3402,2,98,31,465,2017,55,2894,closed
1437686197307.000064,0.008524,0,3,0,1,0,0,73,1354,4,48,56,155,836,149,659,closed
1437766449988.999936,0.541338,0,922,270,1,0,0,43,314,2,6,23,21,228,13,0,closed
1437627601919.000064,0.01831,1,4,0,1,0,0,24,351,4,11,24,40,240,10,0,closed
1437674108068,0.090731,5,19,0,1,0,0,59,113,1,2,2,26,64,4,40,closed
1437735325971.000064,0.127226,0,110,120,6,0,0,46,839,2,11,59,31,650,12,0,closed
1437659940535.000064,0.218722,3,58,45,1,0,0,32,382,1,7,27,53,247,4,102,closed
1437596329592.999936,0.234849,0,50,75,4,1,0,43,554,3,18,7,92,364,30,176,closed
1437650455040,0.067291,4,83,120,1,0,0,34,630,4,27,23,68,403,39,362,closed
1437601577339.000064,0.009355,2,-3,0,0,0,0,93,421,5,17,16,71,225,2,238,closed
1437602280444,0.003282,0,1,30,0,0,0,76,799,4,20,63,61,572,26,0,closed
1437609934998.000128,0.063179,2,-2,0,0,0,0,34,406,1,8,23,98,231,9,180,closed
1437666406528.999936,0.148439,1,84,90,5,2,0,49,673,1,20,31,83,489,12,0,closed
1437664060207.000064,0.54955,1,213,195,2,0,0,67,281,2,9,16,50,180,9,69,closed
1437629235671.000064,0.004866,1,0,0,0,0,0,57,5829,4,114,346,448,3998,326,1443,closed
1437649748393.999872,0.007353,1,4,0,0,0,0,74,269,1,5,15,57,170,5,61,closed
1437760895956.999936,0.329527,0,541,45,3,0,0,42,1310,5,26,64,142,913,68,0,closed
1437617423575.000064,0.004866,2,-4,0,0,0,0,37,1377,4,23,46,188,805,28,1008,closed
1437628135820.999936,0.001764,0,0,0,0,2,0,55,530,2,20,31,82,364,10,0,closed
1437605978175.000064,0.002784,0,1,0,0,0,0,42,1708,5,25,49,273,725,192,1067,closed
1437601411852,0.006014,2,-2,30,0,0,0,56,175,4,3,14,10,124,11,0,closed
1437594962484.999936,0.002335,0,1,0,0,0,0,47,1396,3,80,21,229,863,39,1156,closed
1437653104190.000128,0.009723,2,-2,0,0,0,0,44,803,3,8,51,62,613,8,0,closed
1437603395888.999936,0.009104,0,1,0,1,1,0,64,375,3,11,16,46,252,22,0,closed
1437601688102.000128,0.001874,1,0,0,0,0,0,52,653,3,45,19,156,307,12,429,closed
1437594582249.999872,0.006485,1,-2,15,0,0,0,18,592,4,33,32,100,315,8,455,closed
1437735159383.000064,0.013751,0,17,0,0,0,0,45,1924,3,54,58,193,1131,36,1411,closed
1437599962328,0,0,0,0,0,0,0,34,306,5,10,12,53,186,3,107,closed
1437610874612.999936,0.008008,3,2,0,3,0,0,40,336,1,3,28,9,253,6,0,closed
1437593292923.000064,0,0,0,0,0,0,0,74,3553,1,130,68,403,1878,276,3292,closed
1437603979359.000064,0.016049,4,-22,30,0,0,0,22,673,2,48,46,117,345,5,525,closed
1437600537150.000128,0.008612,2,-11,0,0,0,0,23,390,2,6,36,27,264,13,0,closed
1437608387463.000064,0.091944,1,1,0,0,0,0,95,698,3,23,24,97,375,92,385,closed
1437669535891.000064,5.456432,3,93,165,1,0,0,61,937,5,30,16,98,633,8,692,closed
1437675426496.999936,0.02288,0,21,0,0,1,0,41,2779,3,133,41,465,1642,36,2344,closed
1437605341363.000064,0.005926,0,4,0,0,0,0,43,366,3,8,17,35,264,8,0,closed
1437626919996.999936,0.022599,1,6,0,1,0,0,48,737,3,20,35,76,501,20,0,closed
1437676009742.000128,0.019889,2,11,0,1,0,0,61,1870,3,44,76,273,1234,124,666,closed
1437627097356.999936,0.050414,0,54,45,4,0,0,81,143,4,2,10,16,102,3,0,closed
1437606434644,0.019681,0,10,0,3,0,0,63,223,5,14,4,34,153,13,0,closed
1437664724072,0.034772,0,24,75,6,2,1,36,1044,5,22,69,86,721,43,0,closed
1437609208319.000064,0.012955,1,2,0,0,0,0,79,176,2,5,11,20,117,13,0,closed
1437718531088.999936,0.076926,1,118,120,10,0,0,52,469,5,11,26,15,360,12,0,closed
1437606140823.000064,0.017407,2,7,0,0,1,0,30,649,3,21,27,104,452,8,171,closed
1437619731803.000064,0.006274,3,-6,0,0,0,0,71,172,3,4,8,33,106,11,0,closed
1437673062700.999936,0.965788,2,44,45,0,1,1,52,1127,5,31,69,116,758,53,79,closed
1437662647152,0.214009,4,57,60,4,0,0,37,290,2,9,18,37,199,7,0,closed
1437677817465.999872,0.381526,13,161,120,1,0,0,40,160,2,1,13,21,113,2,0,closed
1437699068558.000128,0.081256,2,28,45,0,0,0,38,867,5,53,32,115,576,8,534,closed
1437666392508,0.049197,1,22,60,6,0,0,49,985,3,45,32,82,681,36,565,closed
1437656218875.000064,0.017242,0,9,0,1,0,0,28,287,4,5,30,13,207,11,0,closed
1437588102459.000064,0.003261,0,0,0,0,0,0,63,2808,3,90,101,400,1879,70,965,closed
1437631489208.999936,0.445119,4,31,30,5,0,0,53,166,2,2,13,9,120,5,0,closed
1437608125196,0.007642,1,15,15,0,0,0,26,937,4,30,24,157,582,54,553,closed
1437638482792.999936,0.189338,1,82,105,3,0,0,53,953,3,18,51,113,649,42,73,closed
1437681854329.999872,0.066076,5,36,120,2,1,1,38,1378,3,66,26,257,728,29,1030,closed
1437661925438.000128,0.016282,2,12,0,3,0,0,23,966,1,42,26,169,516,26,580,closed
1437589620164.999936,0.010453,0,3,15,0,0,0,64,376,4,6,31,21,259,24,0,closed
1437619104286.000128,0.008624,2,-5,0,0,0,0,28,2603,4,30,131,257,1828,89,148,closed
1437594130619.000064,0,1,-9,0,0,0,0,40,132,3,2,9,13,95,3,10,closed
1437586627766.000128,0.001021,1,-6,0,0,0,0,70,1295,4,38,86,177,884,16,230,closed
1437616013208.999936,0.0066,4,2,0,0,0,0,38,525,3,18,22,115,275,5,0,closed
1437588726849.999872,0.172048,13,-8,90,1,0,0,38,379,4,6,30,41,268,8,65,closed
1437660246992,0.00719,0,7,30,0,0,0,53,284,1,8,15,18,208,11,0,closed
1437598972038.000128,0.000853,0,2,0,0,0,0,75,517,2,14,20,64,351,3,270,closed
1437593553598.000128,0.001764,1,-7,0,0,0,0,31,185,4,5,13,14,123,2,0,closed
1437667409556.999936,0.755389,1,75,150,3,0,0,34,2088,5,32,62,301,1216,209,653,closed
1437731299279.000064,0.023461,0,13,0,0,0,0,45,237,2,3,14,19,169,9,0,closed
1437604270864,0.001932,1,-1,0,0,0,0,62,1477,4,74,31,251,914,32,733,closed
1437638725168.999936,0.571944,12,15,60,0,0,0,33,337,5,11,21,37,218,16,53,closed
1437771894124.999936,0.566939,2,106,0,0,0,0,103,350,5,6,26,22,240,17,0,closed
1437669526692.999936,0.015317,0,15,60,1,0,0,54,645,5,7,52,35,471,24,29,closed
1437607389172,0.00883,2,-1,0,0,1,0,63,334,4,9,11,54,234,8,0,closed
1437718394353.999872,11.095211,3,58,240,12,0,0,51,415,1,10,16,77,280,6,89,closed
1437597150768,0.004867,2,-4,0,0,0,0,29,613,2,12,37,76,399,28,217,closed
1437604609222.000128,0.008008,1,-1,0,1,0,0,60,396,4,8,25,21,299,11,0,closed
1437783536156.999936,0.502221,1,580,135,13,3,1,32,988,3,21,44,115,701,21,0,closed
1437684663036,0.084605,2,44,15,1,0,0,42,694,1,26,15,149,411,8,254,closed
1437597913633.999872,0.017413,0,0,0,0,0,0,64,223,3,2,20,11,165,6,0,closed
1437593321924.999936,0.010993,0,1,0,0,0,0,42,618,2,41,26,115,347,17,401,closed
1437588711991.000064,0.002195,0,0,0,0,0,0,90,1182,2,42,27,136,843,25,1023,closed
1437614792862.000128,0.004114,0,2,0,0,0,0,40,1257,3,66,48,301,737,20,638,closed
1437631030014.000128,0.00562,0,8,0,2,0,0,36,1561,4,86,85,291,819,16,1142,closed
1437666662705.999872,0.768771,0,193,240,10,0,0,65,506,3,6,37,26,368,25,0,closed
1437612821275.000064,0.0619,2,5,15,0,0,0,68,607,4,14,34,50,426,25,0,closed
1437601285347.000064,0.002785,1,-3,0,1,0,0,47,432,5,4,27,43,307,14,0,closed
1437657679899.000064,0.08828,1,13,60,1,0,0,33,351,3,9,18,40,240,11,66,closed
1437601982812,0.002226,1,1,0,0,0,0,31,239,2,3,19,26,169,5,0,closed
1437670632179.000064,0.137657,2,47,0,1,0,0,39,459,3,15,22,52,322,8,134,closed
1437589587992.999936,0.004223,0,1,0,0,0,0,43,298,5,8,7,38,213,7,51,closed
1437595479572,0.020458,1,4,0,0,0,0,45,399,3,8,30,11,306,9,0,closed
1437676633388,0.019654,4,10,0,1,1,1,52,798,4,31,49,136,504,25,189,closed
1437649397823.000064,0.236864,1,8,105,2,0,0,72,772,2,15,36,72,557,13,306,closed
1437591838947.000064,0.0066,1,-4,0,0,0,0,75,160,2,2,16,12,103,7,0,closed
1437612153608,0.010829,0,6,0,0,0,0,48,659,4,18,37,96,421,36,178,closed
1437666389640,0.038153,2,33,0,1,0,0,43,368,5,4,20,48,249,18,9,closed
1437631845100,0.00957,0,2,0,0,0,0,85,702,3,18,25,63,486,29,424,closed
1437597036689.999872,0.009198,3,-5,0,0,0,0,39,371,2,7,24,44,254,3,124,closed
1437643084416,0.028843,0,17,15,0,0,0,35,393,2,6,32,31,283,7,32,closed
1437631194023.000064,0.006736,0,5,15,1,0,0,104,412,5,8,32,51,268,22,50,closed
1437635742504,0.062085,11,-21,45,1,0,0,24,542,1,38,16,162,193,0,308,closed
1437593995304.999936,0,1,-5,0,0,1,0,59,2081,4,55,80,212,1158,95,1509,closed
1437652268143.000064,0.041587,0,34,30,0,0,0,33,1168,3,37,55,248,592,50,722,closed
1437595423931.000064,0.003176,1,0,15,0,0,0,30,583,4,13,40,36,423,18,0,closed
1437592207700.999936,0.003246,0,1,0,1,0,0,71,122,4,0,9,7,93,2,0,closed
1437675705278.000128,0.253531,4,44,0,3,0,0,30,777,2,32,27,130,509,22,397,closed
1437621963494.000128,0.022334,1,5,15,1,2,1,44,2625,5,67,72,297,1871,49,0,closed
1437696862822.000128,0.224949,5,0,90,4,0,0,53,744,4,47,10,163,434,15,496,closed
1437610471556,0.010051,0,14,0,3,0,0,45,1792,3,55,86,293,1144,32,515,closed
1437609242753.999872,0.014072,3,5,0,1,1,0,53,571,4,18,26,105,370,7,206,closed
1437680609382.000128,0.041351,1,24,30,2,0,0,48,669,3,22,27,127,420,39,263,closed
1437601680692,0.003607,1,-2,0,0,0,0,68,444,4,7,26,25,337,11,0,closed
1437697044028.999936,0.540521,1,25,90,1,0,0,35,177,3,3,14,8,121,14,0,closed
1437631821459.000064,0.077329,3,21,105,1,0,0,47,276,3,6,21,14,208,6,0,closed
1437594238494.000128,0.007058,1,3,0,0,0,0,38,2565,3,65,98,356,1678,51,1604,closed
1437631173999.000064,0.569561,0,58,180,6,2,0,59,1332,3,35,79,168,883,31,228,closed
1437618127527.000064,0.009253,0,10,15,1,0,0,37,1455,2,24,52,292,771,59,724,closed
1437603274652,0.022394,3,-5,0,0,0,0,51,799,2,18,24,101,434,12,235,closed
1437594171526.000128,0.014372,0,2,0,1,1,0,37,466,3,9,32,50,323,17,0,closed
1437771749723.000064,0.357451,8,180,255,0,1,0,44,670,1,28,28,103,479,2,0,closed
1437599956052.999936,0.015688,4,-7,0,0,0,0,74,457,2,10,22,49,331,9,0,closed
1437600232868,0.00228,0,1,0,0,0,0,105,1265,4,35,6,220,831,83,1026,closed
1437606908536.999936,0.011785,4,7,0,2,0,0,31,165,4,3,11,21,111,9,26,closed
1437620077196,0.010828,1,1,0,0,0,0,48,748,4,18,41,98,495,28,183,closed
1437593490371.000064,0.004867,2,-1,45,1,0,0,36,2243,1,73,57,303,1196,79,1782,closed
1437602038831.000064,0.010311,1,5,0,0,0,0,45,226,4,9,13,44,147,5,92,closed
1437590038612.999936,0.040074,2,9,0,1,0,0,38,461,2,16,15,100,282,10,216,closed
1437605415712.999936,0.000911,0,0,0,0,0,0,104,386,5,8,23,40,255,21,73,closed
1437649416025.999872,0.093284,5,31,105,0,0,0,42,728,4,9,48,48,538,17,42,closed
1437598261736.999936,0.002811,0,0,0,0,0,0,37,899,3,18,57,57,466,58,0,closed
1437604582452,0.031318,1,13,15,3,0,0,35,580,3,12,44,51,419,11,51,closed
1437604835255.000064,0.073278,2,-3,0,0,2,0,29,1041,3,21,24,122,756,21,174,closed
1437683366854.000128,0.022125,1,15,75,5,0,0,66,179,3,2,16,21,117,14,25,closed
1437656556415.000064,0.118614,3,8,180,1,0,0,37,965,3,30,42,130,628,38,490,closed
1437598012547.000064,0.008643,3,-5,0,0,0,0,33,435,3,13,24,56,263,9,244,closed
1437597953953.999872,0.004212,0,1,0,0,0,0,45,629,2,28,15,77,379,5,525,closed
1437602272353.999872,0.011296,1,3,0,1,0,0,37,903,2,30,28,136,559,49,548,closed
1437664045835.000064,0.049005,2,21,120,1,0,0,32,119,4,3,12,8,83,6,0,closed
1437600680838.000128,0.048224,1,56,105,0,0,0,35,244,2,7,20,35,156,10,79,closed
1437753982040.999936,12.840221,2,643,165,18,0,0,77,1143,3,15,68,140,806,17,54,closed
1437703528156.999936,0.339081,0,57,75,6,2,0,36,398,4,9,18,81,262,9,12,closed
1437767908137.999872,1.47543,0,484,90,6,0,0,37,571,5,17,34,69,397,11,82,closed
1437662128168.999936,0.091589,1,122,240,7,2,2,28,739,3,11,29,84,512,15,0,closed
1437613062223.000064,0.107507,5,8,0,0,0,0,53,591,5,10,44,38,435,10,0,closed
1437600448924.999936,0.005437,1,2,15,1,0,0,46,123,3,1,13,7,92,1,0,closed
1437709658120.999936,0.123557,0,149,120,3,0,0,63,108,4,3,10,7,78,2,0,closed
1437592676732.999936,0,0,0,0,0,0,0,37,1077,3,70,11,231,615,68,894,closed
1437597427239.000064,0.004281,1,-2,0,0,0,0,64,605,3,10,37,35,451,12,18,closed
1437589553510.000128,0.004959,0,0,0,0,0,0,21,1367,4,23,71,149,911,49,0,closed
1437603733763.000064,0,1,-1,0,0,0,0,25,258,4,3,25,13,189,7,0,closed
1437603486622.000128,0.001932,0,0,0,0,0,0,44,647,4,17,49,79,386,13,184,closed
1437601006448,0.001021,1,-2,0,0,0,0,79,1250,4,61,60,180,815,34,645,closed
1437707110297.999872,38.856598,1,1035,180,22,0,0,44,641,5,66,11,145,329,11,440,closed
1437611496747.000064,0.005486,1,2,15,0,0,0,65,679,5,8,52,30,508,12,0,closed
1437605132745.999872,0.011823,2,4,0,0,0,0,46,286,5,5,18,10,214,10,0,closed
1437616884512,0.011475,1,7,0,0,7,7,75,4199,5,113,71,714,2672,189,1733,closed
1437655406993.999872,0.062148,3,8,75,0,0,0,47,499,1,16,10,78,322,19,120,closed
1437593134064.999936,0.001932,2,-3,0,0,0,0,115,278,1,5,22,20,204,3,0,closed
1437613233414.000128,0.052878,2,23,30,2,0,0,55,314,1,4,14,51,210,9,57,closed
1437643412952.999936,0.209885,0,41,45,3,0,0,44,351,2,5,11,48,229,32,128,closed
1437602699000.999936,0.005364,1,1,0,0,0,0,52,1015,3,55,34,272,563,28,531,closed
1437651742607.000064,0.093519,6,8,60,2,0,0,45,349,3,3,8,68,232,8,112,closed
1437678508983.000064,0.375444,4,20,150,1,0,0,75,926,2,19,43,142,639,9,289,closed
1437600746972.999936,0.052115,0,34,30,1,0,0,35,939,3,43,43,235,422,12,526,closed
1437603914832,0.001734,0,0,0,0,0,0,35,1180,3,25,53,133,815,47,440,closed
1437652994472,0.024975,0,51,135,4,0,0,61,1299,4,44,53,200,778,20,469,closed
1437688500084.999936,0.125134,2,35,75,2,0,0,85,320,1,4,28,17,232,17,0,closed
1437643231711.000064,0.006868,0,1,0,0,0,0,70,1094,2,22,51,199,735,27,132,closed
1437673739937.999872,0.086528,2,25,75,1,0,0,76,1777,3,105,48,176,564,90,1114,closed
1437608950857.999872,0.04758,3,7,0,6,0,0,38,1466,3,31,80,144,954,88,180,closed
1437627131809.999872,0.014803,1,5,15,0,0,0,70,21002,5,894,279,2545,13995,593,20174,closed
1437612208283.000064,0.004014,2,-4,0,0,1,1,42,256,2,7,12,25,180,8,0,closed
1437578949052.999936,0.005135,1,0,15,0,0,0,72,1424,1,49,64,158,846,84,834,closed
1437660258372,0.014856,0,10,15,0,0,0,40,175,3,4,9,32,110,8,46,closed
1437599484572.999936,0.00848,4,-10,0,0,0,0,48,606,2,22,11,112,338,17,361,closed
1437580987088,0.129482,3,10,0,3,0,0,28,621,3,26,25,120,353,14,275,closed
1437618165955.000064,0.098291,1,3,30,2,1,0,40,712,2,16,38,108,477,19,104,closed
1437588341488,0.003009,0,2,0,0,0,0,38,278,2,9,16,46,172,4,209,closed
1437592727515.000064,0.003282,0,1,0,0,0,0,60,1516,5,61,33,233,734,210,1163,closed
1437651209412,0.467531,0,68,150,5,0,0,39,244,2,7,6,63,147,5,96,closed
1437584410532,0.008644,3,-7,15,2,1,0,41,1837,4,98,52,330,1139,41,1141,closed
1437581227124,0,0,0,0,0,0,0,37,771,5,76,23,155,491,5,352,closed
1437589946756,0.004238,0,1,0,0,0,0,42,2867,4,104,75,262,1756,170,2407,closed
1437650226832.999936,0.005364,1,5,0,0,0,0,41,483,3,16,22,111,290,7,147,closed
1437606241465.999872,0.002785,0,2,0,0,0,0,39,1426,2,71,34,209,878,10,1000,closed
1437744404505.999872,0.042153,0,38,60,2,0,0,59,2444,5,104,72,450,1434,25,1556,closed
1437590318711.000064,0.001932,0,0,0,0,0,0,36,643,3,11,43,26,473,24,0,closed
1437606036132.999936,0.008941,1,2,0,0,0,0,18,1910,3,82,91,231,1101,50,1520,closed
1437628344056,0.01164,3,0,15,1,0,0,55,7618,3,365,68,1223,5036,267,7119,closed
1437627406448.999936,0.01785,1,26,0,1,0,0,45,1242,4,26,66,96,896,29,274,closed
1437670463438.000128,0.097885,0,142,45,1,0,0,32,252,3,4,15,13,191,8,0,closed
1437582953916,0.000853,0,1,0,0,0,0,70,380,2,12,20,52,242,14,218,closed
1437640674910.000128,0.016677,0,35,0,0,1,0,62,270,4,10,11,53,170,15,0,closed
1437660372232,0.087539,1,46,60,3,0,0,57,188,1,2,13,13,144,1,0,closed
1437586352712,0.044146,1,7,60,11,0,0,35,452,5,13,15,83,259,38,280,closed
1437678801374.000128,0.193903,2,89,30,1,0,0,46,1153,4,27,29,143,550,58,901,closed
1437585727060.999936,0.011479,1,0,0,0,0,0,47,3812,3,200,61,467,2632,260,3509,closed
1437697891600,3.640497,0,97,195,7,0,0,45,884,5,35,46,219,503,29,584,closed
1437613727177.999872,0.022008,2,38,60,6,0,0,29,316,4,7,27,22,218,20,0,closed
1437600064316.999936,1.550622,4,7,90,7,0,0,50,499,1,29,14,108,252,4,301,closed
1437582247793.999872,0.000853,0,4,0,0,0,0,128,342,3,5,24,18,240,23,0,closed
1437587019115.000064,0,0,0,0,0,0,0,41,1903,2,68,59,294,1245,74,1231,closed
1437620681164,0.014856,1,6,0,0,0,0,116,485,3,5,48,12,362,21,0,closed
1437655645891.000064,0.16587,0,10,15,0,0,0,56,406,5,5,19,30,270,42,0,closed
1437624885375.000064,0.006737,1,3,0,2,0,0,57,844,4,27,29,164,486,38,413,closed
1437601303116,0.006543,2,-1,0,0,0,0,53,289,5,5,20,18,204,18,0,closed
